user,comment,time,votes
@bangyuds8743,"yg nanya ahli yg jawab ahli, yg nonton bengong",1 day ago,41
@fajargurbada5034,Memang beda bila yang wawancara dan diwawancara ahli semua. Kita dapat ilmu yang real karena disana ada data dan teori,1 day ago,41
@obsobsobsobs,menjadi inklusif,1 day ago,5
@adros1420,"setuju sangat dgn 'naratif' ini, wpon sy rakyat MY.. TK",1 day ago (edited),3
@eviedwiputri3534,"setuju, brasa dpt kuliah ekonomi tingkat doktoral, gratis. luar biasa😍😍👍🏿👍🏿 mendengarnya lgsg brasa mIndonesia akan cerah",1 day ago,56
@ndasoe2110,Berasa kuliah dengan dosen yg   berkelas 👍🔥,1 day ago,20
@jatmikaaditya9672,salim,1 day ago,3
@ridwanlubis9161,Ajak Gibran sih...,1 day ago,5
@auraislami44,Saya nangis karna baru ini ada podcast sangat berlian seperti ini.,1 day ago,26
@rizzal_1013,ibarat makan Wagyu a5 😁,1 day ago,3
@topont2010, @ridwanlubis9161  ngakak guling2...,1 day ago,2
@sheirasn18,"""anti mendongeng"" setuju bgt sih, to do point ga dongeng muter2 sana-sini",1 day ago,1
@VindhiVisnarius-ve3my,"Pointnya jaman jokowi private sektor gak dikasih ruang.. 
Government nya aktif bgt.. 
Artiin diri dah kenapa jaman jokowi rakyat banyak yg susah hidupnya",1 day ago,9
@ayudone,Diskusi Menteri dan Mantan Menteri,1 day ago,1
@AdanyaAja-p9h5h,Istimewa dan tegas,1 day ago,0
@ragetotopati216,Tahun 90an,1 day ago,0
@zamrizam6035,jaman jokw ekonomi pdi aja yg naik.,1 day ago,0
@MariaWiyati,"Gw ngk ngerti ilmu ekonomi, ngk paham juga ttg keuangan tapi ngk bosen- bosen denger cara Bapak ini memahamkan masyarakat luas ttg perekonomian negri ini",1 day ago,1
@hartatisetyowati3582,​ @VindhiVisnarius-ve3my  itu krn jaman jokowi banyak bangun infrastruktur dan yg ngerjain kontraktor BUMN bukan swasta  gtu lhoo pak salah satu nyaa,23 hours ago,5
@azamal-anshori6028,Sepakat bgt gw,23 hours ago,0
@budisurachmat517,"Sepakat kalau ini adl salah satu episode endgame terbaik dan mencerdaskan.
Kalau saja mindset “kemajuan” ala Menkeu ini dimiliki juga oleh Mentri2 yg lain, negara ini akan lebih cepat sejahtera masy nya",22 hours ago,0
@realregalia7759,Waktu harrison ford ngewawancarain zulkifli,22 hours ago,0
@herlambangherlambang1887,Setuju...👍,21 hours ago,0
@NanikSuciowati,​ @hartatisetyowati3582 jmn jkw hya utamakan para konglomerat smntra usaha kcil dicekik,21 hours ago,2
@r_bp1240,menkeu diwawancarai mantan menkeu,19 hours ago,0
@seputaranda5203,"iya menkeu yg dulu ga ada obrolan,kita ga tahu kapasitas kepalanya.ini saya orang awam aja bisa nangkep semua obrolan dua ekonom hebat ini.",15 hours ago,0
@teddydwidarma7488,Yg wawancara juga mantan menteri keuangan,14 hours ago,0
@eastbataviastronger3787,Harusnya gibran yang disna,14 hours ago,0
@alhusna3717,Hade kieuu,12 hours ago,0
@theexplorerJP,Agree,5 hours ago,0
@oldman63_g9c,"Gratis lagi, ilmu ekonomi itu mahal, makasih pak Gita",5 hours ago,0
@muhamadrifai3072,2 tokoh hebat ekonomi saling bertukar pikiran atau diskusi. Benar2 tontonan yg sangat mewah🎉,3 hours ago,0
@adrimega6843,Gak kayak yang wawancarai dedi korbuser/deni sumargo ya,3 hours ago,0
@rahmatcope,huaaa komen ini sangat mewakil 🥺,1 hour ago,0
@muhammadyasin3522,​ @r_bp1240 mantan mendag Pak,44 minutes ago,0
@muhammadyasin3522,​ @eastbataviastronger3787 mana mengerti soal begini Pak si Gibran,43 minutes ago,0
@PURBAYASADEWAYUDHI,like this quote☝,2 days ago,31
@PalupiIrwantika,lebay 😂,2 days ago,7
@briggsy667,Cielah kyk apa aja 😂 ga lah bro rakyat justru diperbanyak yang gini gini,2 days ago,10
@project2226,"​ @PalupiIrwantika memang harus lebay Pak: buat kami, ga banyak yang bisa ngomongin kelit-kelindan kebijakan ekonomi seciamik ini.",1 day ago,34
@adityaditya3444,Iyaa lagii 😂,1 day ago,12
@arissismaya4992,​ @PalupiIrwantika 😂,1 day ago,0
@hasynurraflihasyim5365,"​ @PalupiIrwantika kamu komen ""lebay"".

Siapa dan apa yang ""lebay"", tolong jelaskan dong, kalo komen yang jelas, agar bisa dipahami.",1 day ago,10
@dilanmustofa2583,kenapa disebut lebay? bisa jawab?,1 day ago,1
@MuhammadHanif-tj3dr,ini mah info standar,1 day ago,0
@mohridha4137,​ @PalupiIrwantika ternak mulyono nih,1 day ago,1
@afsanahendralaksita8928,kasihan ​ @PalupiIrwantika ,1 day ago,0
@REYREY_REYHANSS,"Harus lah mereka dengar lu mental mental pemerintah Indonesia nya,",1 day ago,5
@wancukjie,"Beda kan menteri dari partai & professional? Menteri dr partai itu kyk tong kosong nyaring bunyinya. Jawaban nya template. Klo professional mmg cara ngomongnya sprti gini, lgsg pd intinya, gk basa basi.",1 day ago,10
@BudimanTigaDua,"itu era sebelumnya, era sekarang berubah, menkeu blak-blakan",1 day ago,23
@project2226,"Anyway, how financial freedom sounds at 57:50 😅",1 day ago (edited),6
@project2226,"​ @MuhammadHanif-tj3dr iya Pak, tapi kebetulan ""standar"" akses informasi kita semua berbeda 😅",1 day ago,1
@Abeed-hm8jr,"Diend game ini hal biasa, kalo lu suka nontonn end game",1 day ago,0
@rmdwiisnugroho5463,Heeh betul lagi wkkwkwkw,1 day ago,0
@Project22-oe2ry,"setujuu, ga semua pejabat bisa blak-blakan and se-eloquent ini in the same time",1 day ago,0
@novikuspriyandari7998,​ @mohridha4137 ini lagi...dikit2 termul... hadeuh. Gak bisa kah mikir hal lain selain termul...😅,1 day ago,0
@educateyoung,menurut saya ini poscast terbaik sepanjang tahun ini,1 day ago,12
@Kakiku_Go,😊😊,1 day ago,0
@YulitaMinyo,"Harus harus dengar, rakyat harus tau, rakyat bukan orang bodoh yang dianggap penting hanya saat kampanye.",22 hours ago,0
@SPORT-pl8ue,Setuju wwkwk daging,22 hours ago,0
@premytb77,"Kagak men, lu gabakal denger yg kek gini menkeu sebelumnya.​ @MuhammadHanif-tj3dr ",22 hours ago,0
@redonion2894,Kuliah ekonomi kelas purdue,21 hours ago,0
@happinestravelvlog,Hidupp King Cowboy Pur 😊,20 hours ago,0
@iwansetiawan-ti8vm,Kok relate ya komenannya😊,9 hours ago,0
@nosabasuang,"Wah keren pak, tontonannya beda👍",1 day ago,13
@kembangjawafarm,gak ada kata cuman kalau untuk mencari rezeki halal untuk hidup. salut itu!.,1 day ago,74
@indrilestari5138,"Serasa nonton berbayar dgn ilmu yg tinggi atas nara sumber berilmu, InSya Allah Indonesia menuju negara AK, Aamiin YRA",1 day ago,8
@alyu5eg,Saya cuma ibu rumah tangga tp suka obrolan ky gini ...,1 day ago,28
@DiniFitria-t6l,Ayo mas sekolah biar spt bp MENKEU.,1 day ago,3
@che_maulana,"gpp brok pekerjaanmu kotor tapi hasilnya bersih, drpd byk yg pekerjaannya “bersih” tapi hasilnya “kotor”!!! 🎉🎉🎉🎉",1 day ago,10
@MsDiana-uc6hv,"Selain koruptor dan pembalak hutan, kita semua hebat.",1 day ago,13
@abesofyan,"​ @alyu5eg bukan CUMA, tapi sebuah profesi mulia ❤",1 day ago,16
@ullapalopo3091,Yg disampaikan mudah dipahami yg non ekonom data valid tanpa tedeng aling2👍,1 day ago,3
@AshKurenai,Informasi dan edukasi adalah hak semua orang kawan,1 day ago,4
@granadaibnuhajar417,wezzz keren,1 day ago,1
@waflle.waffle,pengetahuan adalah hak semua manusia❤,1 day ago,1
@horisontal-one517,"Obrolan berbobot, terbuka yg jaman jkw gak mungkin dibuka untuk umum",1 day ago,1
@MasKabol-jm1fg,"saya petani kadang krja listrik klo ada panggilan,bisa nonton podcast ini senyum"" sndiri mrasa sneng bgt",1 day ago,2
@StarCrystal9,Pak Purbaya bukan asal bunyi. Beginilah seorang yang bermutu. Kita boleh merasa bangga.,1 day ago,3
@bedahbukuid,Kamu hebat,1 day ago,1
@pasirpetichanel4535,Saya cuman kuli bangunan tapi bisa bisanya nonton sampai selesai obrolan begini❤❤❤❤😂,1 day ago,5
@Potretfenomena,❤❤❤❤❤,20 hours ago,0
@tengkuluqman,Tpi harus ikutan hitung juga agar mampu belajar maksimal,20 hours ago,0
@hariyadibudihardjo3976,Meskipun sudah Pensiunan 10 thn lalu mendengarkan ini sangat  senang sangat international dan masuk akan dan terbuka tdk berdasarkan pesan politik tertentu mantap gini ini .ok😊,14 hours ago,0
@RepublikDagelan1,Barakallahu fiikum 🥹👍🏻,12 hours ago,0
@suamiistringevlog2022,"Seperti mendengar dosen diskusi , ngomong bukan bunyi aja tapi sesuai data dan berbobot, sehat selalu bapak💪🙏",10 hours ago,0
@FauziRama-ei2py,Salut buat pak Gita ini yg anak muda cari obrolan cerdas mantap,9 hours ago,0
@rullyibrahim1170,Alhamdulillah yg penting berkah insyaallah ALLAH akan buat mudah.,35 minutes ago,0
@abdulmajiidsriadi1467,Saya hanya tukang listrik. Dengar obrolan orang ² pinter bahagia rasanya. MasyaAllah.. Barokallah fikum..!,14 minutes ago,0
@cerdasbersama642,Kira2 bisa gak dapat obrolan seperti ini untuk orang2 DPR lulusan SMA? 😂,1 day ago,6
@rizkyfadzilla9600,​ @cerdasbersama642  kalo komedian?,1 day ago,2
@aboenabil, @cerdasbersama642  1:23:20,1 day ago,1
@xiladelxia,SETUJU🤝,1 day ago,2
@ma.alamsyah,saya juga mendidih lagi api ingin kuliah lagi😁,1 day ago,5
@karinawija5046,Superb,1 day ago,1
@desywijaya1091,Terpanggil rasa nya,1 day ago,1
@ronaldalex3612,"Mau nikah...😂
Pak Purbaya mau nikah mesti kuliah lagi pdhl sdh kerja ... pasangan hidup bisa sangat membantu masa depan 👍",1 day ago,23
@ascharta4816,belajar itu tidak mengenal batas usia gas kan selama kita ingin dan masih mampu,1 day ago,7
@ivanmail41,iya..iya.. ambil paket C dulu gih...,1 day ago,2
@Shofiacantik0Shofiacantik0,"Bener bro ,aku yg setua ini dan seorang irt aja , kalau pak Purbaya  bicara tentang ekonomi ,aku selalu nyimak serasa dpt ilmu disana 😅",1 day ago,4
@arwynnusawakan3288,Amin smoga ada jalanny bang,1 day ago,1
@Salsabila-pn8gn,"Sepakat.. Kita masih kurang ""yg lebih banyak pintar"" Kalimat yg sedikit mencubit diri😖",1 day ago,0
@muhammadyasin3522,Ayo teman teman lanjutkan sekolah anda,1 day ago,0
@tjuiphinfandylie4710,Ayo bro ajukan proposal lanjut study.. Tuk bangun negeri tercinta NKRI,1 day ago,0
@mariaarysuryani4027,SETUJU Pak Pur🙏🙏🙏,1 day ago,0
@HikaruYA_,"Saya umur 35 baru kuliah semester 1, Desember ini  ujian",1 day ago,1
@Latif_mone,"Kalau ada semangat dan modal, umur bukan halangan😁",1 day ago,0
@nofikurniawan, @HikaruYA_  semangat bang/mba.. lancar lancar sampai selesai,21 hours ago,2
@HikaruYA_,"​ @nofikurniawan semangat juga Bang,,,
Amin,,, 
Semoga Sukses selalu",21 hours ago,0
@xsaputrobayux,👐👐🤝🤝,11 hours ago,0
@jm4747-o5v,Yang ngomong ga pernah sekolah tinggi ya iyalah 😂,10 hours ago,5
@Kree-l3s,"sebagian besar yang sekolah masih belum tau tujuan mereka sekolah, karena cuma ikut perintah atau dorongan status sosial. Coba kalau yang sekolah itu memang niat menimba ilmu, mungkin kita sudah lebih berkembang lagi dari saat ini. Seperti yang dibilang pak Pur, yang pinter-pinter malah milih untuk keluar dari Indonesia. Mirisnya negeri ini",5 hours ago,4
@muhammadyasin3522,Ya betul ini sekolah bukan scam mengapa pendidikan penting tapi berkualiatas,41 minutes ago,0
@ahmadarif9369,Ijasah Palsuuuuuuu....😂😅,1 day ago,4
@adityaputra6747,Wakil palsu,1 day ago,1
@FunplayZone101,"Yg milih ya rakyat kita sendiri, ini semua salah kita juga, knp kita ga nyadarin orang""",1 day ago,7
@azharmuhammad48,Joko Widodo ijazahnya asli loh,1 day ago,2
@aganmomochi8295,Rakyat juga palsu 😂😂😂😂,1 day ago,0
@happinestravelvlog,"​ @ahmadarif9369 JAFI PRESIDEN dan 10 tahun mengacak"" negeri 😂",20 hours ago,2
@rudijoko3895,orde baru pernah menempatkan para teknokratis anda hasilnya bagus... walaupun kemudian kolep... tapi terbukti bahwa ngurus negara memang harus pakai otak....,7 hours ago,0
@jesssigh.,Pemerintah itu cerminan dari rakyat..,6 hours ago,1
@whoami66669," @jesssigh.  yup 👍. Kalau mau blak-blakan, pemerintah begini karena rakyatnya yang botol",2 hours ago,0
@animusiani6709,aamiin teh liaa,1 day ago,2
@sumiati1760,AMIN AMIN AMIN YAROBAL ALAMIN,22 hours ago,0
@DisciplinePelajar,Pintar dan JUJUR !,1 day ago,7
@StarCrystal9,…dari dulu!!!,1 day ago,3
@sugengprayitno5502,"Byk org pintar, tp jrg yg jujur",22 hours ago,0
@Rony2023-w5y,"Tergantung RI 1 nya bos, Indonesia tidak kurang orang Pintar dan jujur.
Tapi itu jd penghambat terhadap oknum2 yg korup.
Makanya sekarang bisa lihat betapa mengerikan kebihakan2 yg mengorbankan rakyat.
Mudah2an pak PRABOWO dan jajarannya bisa membuat ekonomi Indonesia menjadi lebih baik kedepannya",20 hours ago,0
@HYPERNOVA23," @sugengprayitno5502  engga, ga banyak orang pintar",1 hour ago,1
@estery5273,Kalo dr Podcast ini ternyata Indonesia tidak banyak orang Pintar. Kita dulu mendewakan Ibu Sri yang dianggap kaliber. Ternyata masi cere dianggap Pak Pur. Jd yg bener2 pinter masi sedikit,26 minutes ago,0
@prw4,Klau aku dah faham sbelumnya berkat pancingan influenser sbelah,2 days ago,6
@OfficialOll,So Pendapatan perkapita kita naik,2 days ago,3
@erwina_rahman,​ @prw4 spiil sebelah mana pak,2 days ago,2
@chickenroaster1029,"belajar saham kak, biar lebih paham bnyak tntang ekonomi",2 days ago,2
@Murasaki-Man137, @prw4 sebelah kiri ?,2 days ago,3
@RatmiNingrum,😊😊😊😊,1 day ago,0
@didikempot4482,Masak 😂😂😂,1 day ago,0
@Jefri_12,Memperbaiki wawasan sekaligus meningkatkan rasa optimis thdp Menkeu.,1 day ago,1
@Shofiacantik0Shofiacantik0,Betul sekali,1 day ago,0
@wahidahidah19,"Iya benar bgt, sy sdh umur 48 thn dulu lulusan SMEA jurusan Akuntansi. Sering  bgt dengarin Pak pur jd senang belajar lg sy. 😂😂",1 day ago,0
@ntznbgzt,"Harus ditonton juga yang dengan pak chatib basri,",1 day ago,0
@Rizki_Nand,​ @chickenroaster1029 kalau boleh tau untuk mulai dari nol belajar aaham itu dari mana dulu kak?,22 hours ago,0
@e.suzanasusanto1140,​ @Rizki_Nand ada youtube 'belajar saham dari nol'',5 hours ago,0
@h_hb5660,"Lah, bukannya dia orangnya opung?",1 day ago,3
@septiandwiraharja,"Hahaha 😂 
Msh orangnya Bpk Opung dan Bpk Jokowi 👍🏻",1 day ago,0
@adesa756,"so what kalo orang itu titipan A titipan B? padahal diawal ada kutipan penting tuh, coba dibaca lagi kutipanya apa, yg dari milton friedman",1 day ago,4
@GuyubMufakat,​ @septiandwiraharja  hahaha padahal Prabowo itu mbahnya termul.,1 day ago,1
@neviegwandini,kata siapa bukan titipan? hahahaha....,1 day ago,0
@antoinne3694,​ @septiandwiraharja gagal paham lu.,23 hours ago,1
@richomochjulianto3307,wkwkwk,11 hours ago,2
@irfanmaulanazulfi4648,dongeng sebelum tidur,5 hours ago,1
@fadlimaulana4902,Pak purbaya ini bahasanya mudah dimengerti masyarakat awam,2 days ago,349
@prasetya1689,"Pak Gita mengerti ekonomi dgn filosofi yg dalam dan pak pur ekonom praktis, realistis, terbuka, dan tdk sungkan menerima saran. Pak presiden, mohon duetkan dua org ini !",1 day ago,153
@KangEntus-u4j,"Luar biasa 2 orang hebat ini, bener bener mikirin Indonesia.",2 days ago,198
@bintanaditya7341,"I truly appreciate this podcast because:

1. Conversations like this are extremely rare to hear from someone currently in government, and everything discussed here feels fresh and insightful.
2. The subtitles are clear, with well-refined phrasing that strengthens every line. Shout-out to Pak Gita’s team for the meticulous translation work.
3. Pak Purbaya’s persona comes through in full - his life story, his iconic confidence, the intellectual foundations behind the policies he has made, and his subtle “soft jabs” at the things that aren’t right within the government

No wonder it reached 600k views in just one day 👍👍👍👍👍",11 hours ago,29
@Ivan-up7ny,"57:30 mereka banyak yg melirik, kita sendiri yg mempersulit.",1 day ago,64
@adejaya1692,Terima atas kontribusi Pak Gita untuk memberi kami kuliah gratis. ❤,2 days ago,194
@Nasyeh-93R,"Betapa pentingnya pengaruh pendidikan bukan hanya untuk sekedar hidup. Dua orang luar biasa yg perbincangannya seprivat ini saya dengar, saya melihat betapa mereka mencintai negeri ini tanpa pamrih.",1 day ago,51
@isalutfi,Wah ini sih yang ditunggu. Ikut menyimak. Terima kasih Pak Gita dan tim EndGame sudah mengundang Pak Purbaya dan mempersembahkan perbincangan yang sangat berharga ini.,2 days ago,175
@aiscamcam,"Pas ngomongin Whoosh dia terbata2, dia tau rugi tp dia didalam pemerintahan. Tp goodjob pur",1 day ago,31
@mohamadnurpamungkas3621,"Ini mah bukan podcast, tapi diskusi untuk kemajuan NKRI 🔥",1 day ago,27
@magetulle9413,"Motivator tuh gini! Ceritain suksesnya krna memang bukti nyata dari akademis, pengalaman, strategi. Bukan teori omong kosong. Proud, All hail KING PUR 👑",1 day ago,66
@flzkausyr,KEREN INI ACARA HARUSNYA INI YG HARUS DIKENCENGIN ALGORITMANYA SECARA MASIF JNGN POLITIK TRUS ..,2 days ago,162
@herminadisnawati1425,Baru kali ini dgr 2 org pintar...pemimpin yg bicara gaji guru dan dosen dgn serius dan hati nurani....❤❤,1 day ago,76
@wongndeso4879,"Ini kayak 2 orang pinter lagi ngobrol negara, bukan kayak podcast2 kebanyakan. Love it!",28 minutes ago,0
@warungangkasa9956,"Biarkan sistem meritokrasi tumbuh, hasilnya orang-orang pintar seperti yang sedang kita tonton saat ini yang tampil untuk Indonesia yang lebih baik.",12 hours ago,11
@samvary6585,"Mendengar 2 orang ini ngobrol, optimisme dalam diri terhadap negeri ini kembali bersemi. Skeptisisme yang selama beberapa tahun ini menjamur seakan terbasuh 🥹",1 day ago,54
@Wandy_user,"Pak purbaya kalau ngomong isinya daging semua, sedikit2 oo paham cara kerjanya.. org seperti purbaya yg kita perlu menjadi Mentri, paham problem, gerti gameplay, jurusnya banyak, eksekusi on the target dan mau mendengarkan masukan.",1 day ago,145
@reynalda9756,sesimpel itu pak purbaya dekripsiin gen z  dan bener lagi 😂,2 days ago,75
@growfinacademy,"Ya Allah, dua orang pintar ini berdiskusi untuk kemajuan rakyat Indonesia. Mulia sekali beliau beliau ini",21 hours ago,7
@leodwi4105,this is where politician should doing podcast,1 day ago,20
@crisduijo7802,Penjelasan yang mudah dimengerti artinya dia menguasai ilmu dg baik.,1 day ago,4
@justaang2342,kemampuan anak teknik mentranslasi ketidak pastian menjadi resiko,1 day ago,1
@amenohabakiri6699,salah satu keunggulan orang jenius beneran bukan mengaku-ngaku itu bisa menjelaskan hal kompleks menjadi mudah dimengerti oleh orang awam sekalipun,6 hours ago,1
@dedhy1964,Pak Gita staff akhli saja,4 hours ago,0
@zainulrozikin2061,😢,13 hours ago,0
@Elon_musk77777,"Ini juga kan Politik,,gimana sih",23 hours ago,1
@flzkausyr, @Elon_musk77777  POLITIK EKONOMI LEBIH KEREN DIBANDING POLITIK ADU DOMBA KEBENCIAN GMN SIH WKWK,19 hours ago,0
@Watanta,kalo srimul?,1 day ago,1
@glowzaura7398,"​ @Watanta sri mul modelan sombong yg arogant, susah trima masukan. Beda purbaya suka nyombong tapi bercanda, serius tp santai.",1 day ago,7
@musanggaming3099,Dengerin bapak-bapak ini ngbrol berasa pengen kuliah ekonomi lagi 😅😅😅,1 day ago,56
@syamsularif4870,Dari podcast ini intinya pendidikan itu penting bahkan ada program jutaan dollar utk menciptakan profesor dll,2 days ago,64
@Bintang-h02YT,Seperti disuguhi pertarungan antara Kenshin dan sishio.. tegang sejak awal...😊,2 days ago,102
@bedhahadityo8924,"Satu setengah jam tanpa terucap kata ""koordinasi"", kata klise yang memuakkan. Panjang umur para pekerja keras❤",2 hours ago,1
@sukma-uc2mz,hal positif dr medsos menyebarkn wawasan pengetahuan yg berguna utk pola pikir mentalitas yg jeli melihat suatu permasalahan dlm negeri.,1 day ago,15
@channelka87plus32,Daging semua. Cara santai Pak Purbaya dan host (Gita Wirjawan) menjadikan sajian tdk membosankan dan ilmunya masuk tanpa ribet. Mantap!,2 days ago (edited),80
@damarjatibagus,"akhirnya, terimakasih Pak Gita, salah satu yang ditunggu-tunggu!",1 day ago,305
@MachaliMuhammad-p8q,Jam 1 pagi dengerin kya gini tambah ga bisa tidur 😂,1 day ago,37
@santizasanti5936,"Jujur Ini satu2nya menteri yg sy pny harapan dengannya stlh  nyaris putus asa lihat kondisi 10th kemarin negara dirusak sedemikiannya. Bismillah Indonesia bangkit lg, jaya lagi dan seluruh rakyat makmur bersama",1 day ago,34
@sinarlintang6924,"Alhamdulillah... 
Masih bs menemukan orang yg cerdas mental n spiritual.",12 hours ago,8
@denay9632,Satu yang saya perhatikan dari podcast ini.. pak Purbaya tidak pernah menyela pembicaraan pak Gita.. bukti orang ini selain pinter juga good attitude,1 day ago,52
@LitaWiswamitra,"Sering2 deh ada dialog seperti ini, ini baru mencerahkan sekaligus menghibur, edukasinya dapat refreshingnya dapat, beri bangsa ini 10 orang karakter pejabat seperti pak purbaya, indonesia akan guncang dunia",2 days ago (edited),115
@online-shirley,"Dimana pun Pak Pur diundang, aku selalu ikutin Podcast-nya
Sehat selalu ya Pak 🎉
Selalu menjadi Menteri untuk rakyat dan tetap bersih ❤",1 day ago,44
@jhinbogor22,Tontonan berkelas ini ❤️,18 minutes ago,1
@daviqrachmad6269,"Berharap ada purbaya academy supaya indonesia pny ribuan purbaya ga hanya cerdas secara IQ tp brani bertindak dan berkata tidak untuk sesuatu yg jelas2 anomali smoga Allah SWT memberi perlindungan dan balasan yg berlipat atas keberanian demi kemakmuran rakyat indonesia 
Aamiin",21 hours ago,9
@bigbangmining5878,"YT channel ini harusnya sudah >20M follower, bukan channel yg cuma gimmick/flexing/hedon.. narasumber/materi/host nya ""berisi"" bukan kaleng2... sukses selalu Pak Bro👍..",1 day ago,38
@suitjepang2700,"PAK PURR TENGILL BGTT, SERUU NONTONNYAA!!!❤😂",2 days ago,34
@mochammadsadisi4686,"obrolannya sangat santai kayak bukan podcast, tp isinya daging semua.",1 day ago,30
@abangganteng9002,"Saya yang hanya lulusan SMA jurusan IPS, menyimak obrolan atau diskusi orang orang cerdas dan pintar. Ilmu dan pengalaman memang mahal.",21 hours ago,7
@abay1348,this conversation arouse an inner drive in me to work hard to contribute not only to my welfare but also indonesia,1 day ago (edited),12
@checkdhar,"eits ada fans rurouni kenshin nih!👍👍, ini diskusi org cerdas, bro! yg nanya ngasih pertanyaan dg data yg cerdas, yg jawab responnya dg data aktual juga! byk istilah2 Pak Gita dy gak ngerti, ditanya lgsg ""maksudnya gimana?"", santai bgt! soal elektrifikasi, kontan dijawab tu bukan targetnya, dijabarkan, logis pula!",2 days ago,15
@ayahmahesaXyumna,Kayak mas Atta donk podcast daging 😂,1 day ago,1
@gwirjawan,Semoga berkenan 🙏🏼,1 day ago,26
@Jonotheantonio,"​ @gwirjawan next guru gembul dong pak,",10 hours ago,4
@laikalaika3113,​ @Jonotheantonio buat apa yah? Membantu perekonomian kita???,7 hours ago,0
@namrauschannel,​ @laikalaika3113  kamu siapanya pak gita wiryawan? kok ngelarang orang request tamu podcastnya pak gita?,1 hour ago,0
@SusuSapi-q9b,​ @Jonotheantonio astaghfirullah bang .. itu bukan orang yg berkompeten,1 hour ago,0
@Jonotheantonio,​ @SusuSapi-q9b hah?,1 hour ago,0
@fajardm9304,Betul sekali....,1 day ago,0
@antoinne3694,Lu pernah pilih jokowi ga ? Kalo pernah berarti lu gak layak beropini,23 hours ago,2
@DjenggotKanzun,"Dan sebaliknya juga,,, begitu lah seharusnya biar ga miss interpretasi.",1 day ago,6
@noviasih-n4j,Iya pakgita ini anteng dan sabar dengerin pakpur ngomong ga nyela2. Aku liat bbrp podcast pakpur ada yg dia sering disela host trs​ @DjenggotKanzun ,22 hours ago,1
@saradessarades,Pahlawan HOAK kan ada 😮 indondesh 😅😅😅😅😅,2 days ago,0
@MRCAT3.0-d5g1b,​ @saradessarades malaydesh pun ada ladusing 😅,2 days ago,0
@LovelyCrypto,​ @saradessarades Malaydesh salah alamat 🤣,1 day ago,0
@sholihuddin4308,Ternyata kemampuan Pak Purbaya menjangkau multi disiplin. Kelasnya menko dan bisa wapres.,1 day ago,58
@YouBirr,"obrolan permasalahan kondisi riil ekonomi dan investasi dengan penalaran, gaya bahasa khas orang teknik. bener"" mahal episode podcast kali ini",1 day ago,11
